Timestamp,City,Latitude,Longitude,Temperature_C,Feels_Like_C,Humidity_Percent,Pressure_hPa,Wind_Speed_mps,Cloud_Cover_Percent,Weather_Condition,Weather_Description,Visibility_m
2026-08-26 23:48:04,Jatani,20.1667,85.7,27.11,31.87,97,1002,1.03,96,Clouds,overcast clouds,10000
2026-08-27 05:23:52,Jatani,20.1667,85.7,32.02,39.02,66,1002,4.12,88,Clouds,overcast clouds,10000
2026-08-27 16:35:53,Jatani,20.1667,85.7,28.22,34.84,92,1003,1.54,97,Clouds,overcast clouds,10000
2026-08-28 01:06:59,Jatani,20.1667,85.7,28.02,33.64,89,1001,2.06,23,Clouds,few clouds,10000
2026-08-28 12:43:34,Jatani,20.1667,85.7,29.89,36.89,85,1001,2.57,100,Rain,moderate rain,5768
2026-08-28 22:40:14,Jatani,20.1667,85.7,27.11,31.39,93,1000,2.06,100,Clouds,overcast clouds,10000
2026-08-29 03:51:28,Jatani,20.1667,85.7,29.02,34.58,79,1002,2.57,96,Rain,light rain,10000
2026-08-29 10:31:31,Jatani,20.1667,85.7,30.02,37.02,79,999,3.09,100,Clouds,overcast clouds,10000
2026-08-29 15:18:15,Jatani,20.1667,85.7,28.02,32.62,83,1001,2.06,100,Rain,heavy intensity rain,9039
2026-08-29 18:41:12,Jatani,20.1667,85.7,27.02,30.69,89,1001,3.09,100,Clouds,overcast clouds,10000
